"txtDepartment";"txtCategory";"boxQuestion";"boxAnswer"
"Clerk's Office";"Marriage Bureau";"What if I`m not 18?";"<p>Persons at least 16 years of age but less than 18 years or age may marry only if the person has the consent of:</p>

<ul>
     <li>Either parent; or</li>
     <li>Such person`s legal guardian</li>
</ul>

<p>Persons signing as legal guardians must furnish a certified court order showing proof of full legal guardianship to the satisfaction of the Clerk. If the parent or legal guardian cannot be present, a <a href=\"http://www.washoecounty.us/file_push.php?file_choice=7874\">consent form</a>, written in English, stating the name, birth date, age of the minor child, relationship of the person giving consent, and name of prospective spouse; acknowledged before a Notary Public will be accepted. <span style=\"font-weight: bold; color: red;\">The notary portion of the consent form must state that the parent or guardian \"personally appeared before\" or that the document was \"subscribed and sworn to before\" the notary</span>.  A facsimile of the consent will be accepted. When a legal guardian is signing and sending a facsimile, a copy of the court order for full guardianship must be attached to the notarized consent. Under the provisions of <a href=\"http://www.leg.state.nv.us/NRS/NRS-122.html#NRS122Sec025\" target=\"_blank\">NRS 122.025</a>, a person less than 16 years of age may marry if either parent or legal guardian files an action, pays all court fees as provided by law, and presents a court order from the Second Judicial District Court, County of Washoe, State of Nevada, authorizing the Clerk to issue a license.</p>"
"Clerk's Office";"Marriage Bureau";"Am I married after I receive my license?";"<p><span style=\"font-weight: bold; color: red;\">To be legally married, a marriage ceremony must be performed</span> by any person authorized to perform a marriage in the State of Nevada.  Your options are:</p>

<ul>
     <li>Wedding Chapels</li>
     <li>Churches</li>
     <li><a href=\"http://www.washoecounty.us/clerks/civil_marriages.php\">Commissioner of Civil Marriages</a></li>
</ul>

<p>One witness to the marriage ceremony is required by law. Chapel brochures are available in the courthouse hallway for your selection. You may also call the <a href=\"http://www.renolaketahoe.com/\" target=\"_blank\">Reno-Sparks Convention & Visitor`s Authority</a> at (800) FOR-RENO, (888) 367-7366.  The <a href=\"http://www.reno-sparkschamber.org/\" target=\"_blank\">Reno-Sparks Chamber of Commerce</a> at (775) 337-3030.  To be married at Lake Tahoe you may call the <a href=\"http://www.laketahoechamber.com/\" target=\"_blank\"> Incline Village/Crystal Bay Chamber of Commerce</a> at (775) 831-4440.</p>

<p>A marriage license issued in the State of Nevada may be used anywhere within Nevada. If a Nevada license is used anywhere other than Nevada, the ceremony and the marriage are not legal. A marriage performed in Nevada with a Nevada license is a legal marriage.</p>"
"Clerk's Office";"Marriage Bureau";"How do I get certified copies of my marriage application/certificate?";"<p>You can request a copy of the Marriage Application <a href=\"#\" onclick=\"window.open(`https://www.washoecounty.us/clerks/files/online_form.php?o=CLERK`,`OrderForm`,`width=640,height=500,status=1,toolbar=1,scrollbars=1`);\" title=\"Online Copy Request Form\">online</a> with your Visa or MasterCard. You are not requesting a license to be married. You must be present in our offices to request a Marriage License. By clicking the \"online\" link above, you will be taken to our secured server. If you do not feel comfortable submitting your request online, you may obtain a copy by mail from:</p>

<p><strong>WASHOE COUNTY CLERK<br />
P.O. BOX 30083<br />
RENO, NV 89520-3083</strong></p>

<p>When ordering a certified copy by mail, please remit $1.00 per page copy charge and $6.00 for the certification (most documents are one page in which case the fee would be $7.00 for a certified copy). You will be notified if there are additional pages.</p>

<p>Visa, MasterCard, Money Orders or Cashier Checks only, no personal checks. Please include the date of marriage and names of the bride and groom with your request. You may also call us at (775) 328-3274 as we do accept phone orders with a Visa or MasterCard credit card only.</p>

<p>You can obtain a true, legal certified copy of your marriage record (marriage certificate) from the <a href=\"http://www.washoecounty.us/recorder/\">Washoe County Recorder`s Office</a>.  You can download the <a href=\"http://www/repository/files/25/marriage request form revised 01-2010.pdf\">request form</a> and mail or fax it to the Recorder`s Office. The Recorder`s Office is located in the Washoe County Administration Complex, 1001 E 9th Street, Building A, Room 150. The hours of service are Monday through Friday, 8AM to 5PM. The fee per certified copy is $10.00. When requesting certified copies through the mail from the Recorder`s Office you will need to allow 10-15 working days for processing. The mailing address is WASHOE COUNTY RECORDER, PO BOX 11130, RENO, NV 89520-0027. It is Nevada State law that within 10 days after you have had a marriage ceremony performed, that the minister must deliver the original marriage certificate to the Washoe County Recorder`s Office for official recording. If you need a certified copy of your marriage certificate sooner than 10 days, check with the agency performing your ceremony, as they may be able to help expedite the processing of your certificate.</p>"
"Clerk's Office";"Marriage Bureau";"Where are you?  How are the roads?";"<p>For road information visit <a href=\"http://www.nvroads.com\" target=\"_blank\">http://www.nvroads.com</a>.</p>

<p><a href=\"/clerks/files/map.php?location=1\" target=\"_blank\">Click here</a> for a map of our Reno location.<br />
<a href=\"/clerks/files/map.php?location=2\" target=\"_blank\">Click here</a> for a map of our Incline Location.<br />
<a href=\"/clerks/files/map.php?location=3\" target=\"_blank\">Click here</a> for a map of our Commissioner of Civil Marriages location.</p>"
"Clerk's Office";"Marriage Bureau";"What do I need to change my name with Social Security?";"<p><a href=\"http://www.ssa.gov/\" target=\"_blank\">Social Security</a> has passed new laws regarding name change requirements and you may be required to provide two documents to them evidencing your marriage in order to change your name. One of those documents is a copy of your <a href=\"http://www.washoecounty.us/clerks/mlb_order_copies.php\">Marriage License Application</a>, which you can purchase when you purchase your marriage license in this office or wait and order it later if needed. The other is a copy of your <a href=\"http://www.washoecounty.us/recorder/copyofmarriagecertificate.html\">Marriage Certificate</a>, which will be recorded with the County Recorder.</p>"
"Clerk's Office";"Marriage Bureau";"Do we both need to be present to purchase a marriage license?";"<p>Both parties must be present at the time their license is issued unless there are extenuating circumstances. Single signature licenses will only be issued with supervisor / management approval. If you feel you may qualify to be issued a single signature license, please contact our office prior to coming in so that we can discuss the specifics of your situation.</p>"
"Community Development";"Business, Liquor and Gaming Licenses";"Click on the link below to download a PDF file with FAQs pertaining to Business Licenses, Liquor Licenses and Gaming Licenses .";"<a href=\"http://www.washoecounty.us/comdev_files/business_license/bl_faq_0410.pdf \" target=blank>Download the PDF</a> "
"Community Development";"Citizen Advisory Boards";"What is the purpose of Citizen Advisory Boards (CABs)?";"Citizen Advisory Boards (CABs) assist the Washoe County Commissioners with issues of concern in designated geographic areas.  CABs serve two general purposes:

- They help the Commissioners become aware of the concerns of residents and property owners in their geographical areas, thus enabling the Commission to better address those issues in the best interest of the community and the County; and

- They provide a forum where citizens can be informed about and understand decisions made by the Commission that affect their community."
"Community Development";"Citizen Advisory Boards";"How long have CABs been in existence?";"The first community CAB was the Incline Village CAB (later to be merged with the Crystal Bay CAB) which was established at the request of North Lake Tahoe residents in 1975, even before such boards were formalized by statute. 

The Sun Valley CAB followed in 1978, and the Washoe Valley CAB (first established as a nonprofit corporation by Washoe Valley residents and later divided into two CABs: East Washoe Valley and West Washoe Valley) in 1979. 

The Lemmon Valley and Gerlach/Empire CABs were added in 1980, and the Verdi Township CAB in 1981. In 1982, the North Valleys CAB (which incorporated the Lemmon Valley Board), and the Southwest Truckee Meadows CABs were established, followed by the Northeast Valleys CAB in late 1983 -- which was later divided into the Spanish Springs and Warms Springs CABs. 

Subsequent boards were established for Mt. Rose/Geiger Grade (which was later divided into two separate boards -- Galena-Steamboat and Southeast Truckee Meadows), West Truckee Meadows, East Truckee Canyon, and Cold Springs.  

In 2006, the Central CAB was formed.  The Cold Springs CAB was dissolved in 2008 and the North Valleys CAB was modified to include the Cold Springs CAB area.  In 2009, the Verdi Township CAB and the West Truckee Meadows CAB were dissolved and merged into the Verdi Township/West Truckee Meadows CAB, and the Central CAB was temporarily suspended."
"Community Development";"Citizen Advisory Boards";"What is the legal authority that establishes CABs?";"Nevada Revised Statutes (NRS) 244.1945 authorizes the Washoe County Commission to establish advisory boards \"for any purpose relating to the County about which the Board desires study or advice\".  Under this statute, the Commission has created a number of Citizen Advisory Boards (CABs) on countywide issues, as well as creating the system of community CABs.

Washoe County Code, Chapter 5.425 through 5.435, sets forth the specific guidelines for the establishment and operation of CABs. Among other matters, it requires that each CAB be individually established by a resolution of the Washoe County Commission.

These regulations are available from the Washoe County Department of Community Development. The regulations may also be viewed on the County`s website.  To access the Citizen Advisory Board History, Legal Basis and Bylaws, <a href=\"/comdev/boards_commissions/cab/history.htm\" target=_blank>click on this link</a>."
"Community Development";"Citizen Advisory Boards";"How are CABs governed?";"Citizen Advisory Boards (CABs) are governed by a set of bylaws adopted by the Washoe County Commission. The bylaws enable each CAB to follow a standard set of operating procedures while providing enough latitude to allow the CAB to conduct its affairs and meetings in a fashion which encourages public participation.

CAB bylaws are available from the Washoe County Department of Community Development. The bylaws may also be viewed on the County`s website. To access the Citizen Advisory Board Bylaws, <a href=\"/comdev/boards_commissions/cab/history.htm\" target=_blank>click on this link</a>."
"Community Development";"Citizen Advisory Boards";"How are CABs established?";"Citizen Advisory Boards are established by resolution.  The Board of County Commissioners establishes a Citizen Advisory Board (CAB) in areas of the County where residents share similar problems and concerns, and where the community is distinct from other communities.  "
"Community Development";"Citizen Advisory Boards";"How often do CABs meet?";"The volunteer boards generally meet six times a year, though one CAB meets monthly and one CAB meets 4 times a year.  All CABs may also hold special meetings to discuss items or issues which are of immediate or pressing concern to the community."
"Community Development";"Citizen Advisory Boards";"How can I find out about the assigned geographic area of a CAB?";"The geographic area of responsibility for a CAB is established when the Washoe County Commission initially forms a new CAB. Changes to any CAB`s geographical area, if needed, are directed by the Washoe County Commission through a formal resolution.

Maps showing CAB geographic areas of responsibility are available from the Washoe County Department of Community Development.  The maps may also be viewed on the County`s web site by searching for the \"CAB Home Page\" or typing \"www.washoecounty.us/cab\" in the address bar, and then selecting the link for \"CAB Agendas, Minutes, Applications, Maps and Rosters\".  Maps can also be found by clicking on the \"Citizen Advisory Board Maps\" link in the left column.
"
"Community Development";"Citizen Advisory Boards";"What are membership requirements for CABs?";"Citizen Advisory Board (CAB) members must reside within the geographical area of responsibility for their CAB and be a registered voter (if eligible to vote) in Washoe County.  On most CABs, the new member must also be a resident of unincorporated Washoe County.   However, City of Reno residents are eligible for appointment to the Central CAB, North Valleys CAB, Southwest Truckee Meadows CAB, and the Verdi Township/West Truckee Meadows CAB.  City of Sparks residents are eligible for appointment to the Spanish Springs CAB as regular members or as alternates.  The voter registration requirement can be waived on a case-by-case basis by the Washoe County Commission.  New members are required to attend new member orientation within six months of appointment.  "
"Community Development";"Citizen Advisory Boards";"What is the term of office for CAB members?";"Citizen Advisory Board (CAB) members are selected with the intent to provide representation from a broad cross-section of the CAB`s geographical area. The Washoe County Commission strives to ensure that all major viewpoints are examined, and that any faction or special interest group does not dominate a CAB.

Members are appointed by the Commissioners for staggered two-year terms beginning July 1 until June 30 two years hence.  Unexpired vacancies are filled from the date of appointment until expiration of the unfilled term. 

It is the general policy of the Commissioners that Citizen Advisory Board members be appointed for one two-year term to ensure the fullest participation by a broad range of citizens in a neighborhood. However, considerations of continuity may allow for reappointment of a member to a second or third (in special cases) consecutive term. If there are no other qualified applicants, a CAB member may serve a fourth consecutive term at the discretion of the Commission.  A member may not serve more than four consecutive terms on a CAB. "
"Community Development";"Citizen Advisory Boards";"How are appointments made?";"Appointments are made from a list of applicants who have submitted applications within the past year. Generally, an advertisement for applicants is placed in the local newspapers at lease once a year, usually in February or March when the CAB Annual Recruitment effort begins. However, applications may be submitted anytime. 

Applications are available from the Washoe County Department of Community Development. Applications for each specific Citizen Advisory Board are also available on the Countyâ€™s web site by typing \"www.washoecounty.us/cab\" in the address bar to access the CAB Home Page, then selecting the link for \"CAB Agendas, Minutes, Applications, Maps and Rosters\", and then selecting the applicable CAB. Applications for all of the CABs can be found by clicking on the \"CAB Applications\" link in the left column of the CAB Home Page.  To access information about the Citizen Advisory Board membership application packets, <a href=\"/comdev/boards_commissions/cab/membership_packet.htm\" target=_blank>click on this link</a>. 

When a vacancy occurs on a CAB, current applications are submitted to the County Commissioner within whose district the CAB resides. The Commissioner reviews the applications and may interview the applicants. CAB members may make recommendations to the Commissioners concerning appointments.  The Commissioner makes a recommendation on an appointment to the Washoe County Commission, but the Commission makes the final appointment.
"
"Community Development";"Citizen Advisory Boards";"Can a CAB member be removed from the Citizen Advisory Board?";"Yes. There are several reasons why a CAB member might be removed from the board:

- New members are required to attend new member orientation training within six months of appointment.  Failure to comply with this requirement may result in automatic removal.

- Three consecutive unexcused absences from CAB meetings will result in automatic removal from the CAB.

- If the conduct of a CAB member is deemed inappropriate, the Commissioner responsible for the CAB will speak to the individual and, if warranted, take steps to remove the individual from the CAB."
"Community Development";"Code Enforcement";"Click on the link below to download a PDF file with FAQs pertaining to Code Enforcement.";"<a href=\"/comdev_files/code_enforcement/more_information/ce_common_questions.pdf \" target=_blank>Download the PDF</a> "
"Community Development";"Development Review and Permitting";"What is my zoning?";"The 60,000 parcels in Washoe County are divided into 18 different zoning (land use designation) categories.  You may find your parcel`s land use by accessing Map Warehouse on the County`s website.  Please keep in mind that the Map Warehouse provides land use (zoning) information for unincorporated Washoe County only.  If your property is within the Cities of Reno or Sparks, you will need to contact either the Reno or Sparks Community Development Department to obtain your zoning information.

To get to Map Warehouse, <a href=\"http://www.washoecounty.us/gis\" target=_blank>click on this link</a> and choose \"Map Warehouse\".  When the disclaimer comes up, scroll down and click \"I Agree\".  The \"Main\" tab should be active, if it isn`t, choose \"Main\".  Choose \"Land Use\" from the list.  Under \"Step 1. I am interested in:\", click the dropdown arrow next to \"Select One\" and choose \"Washoe County Planned Land Use\".  

If you wish to search by the parcel number, under \"Step 2. I would like to search by:\", choose \"Parcel Number\".  Under \"Last Step. The parcel number without spaces or dashes is\", type the parcel number without any spaces or dashes, then click on \"Search!\".  Your parcel should be highlighted on the map.

If you wish to search by the address, under \"Step 2. I would like to search by:\", choose \"Address\".  Under \"Last Step. The address is\", enter the Street Number and Street Name, and the Prefix (North, South, East, West) if there is one, then click on \"Search!\".  Your parcel should be highlighted on the map.  

If the \"Data\" tab is selected, there should be a table below the map display.  If the \"Data\" tab is not selected, click on the \"Data\" tab to bring up the table.

The third column in the table is labeled \"Planned Land Use\".  Your land use designation (zoning) will be identified in this column."
"Community Development";"Development Review and Permitting";"Can I build a granny flat or second unit on my property?";"Maybe. If your property is 12,000 square feet in size or greater, you may apply for a special use permit (or on larger parcels, an administrative review) for a separate dwelling unit with certain size restrictions.  In nearly all cases, you may be able to add an attached apartment up to 40% the size of the main dwelling.

For more information, see Division Three - Regulation of Uses, Article 306, Accessory Uses and Structures, of the Washoe County Development Code. To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>."
"Community Development";"Development Review and Permitting";"If the structure on my property is destroyed, may I rebuild it?";"Yes. Regardless of the use of the structure, if it was legal when constructed, you can rebuild it within 12 months.

For more information, see Division Nine - General Provisions, Article 904, Nonconformance, of the Washoe County Development Code. To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>."
"Community Development";"Development Review and Permitting";"Can I put a mobile home (aka trailer, manufactured home, modular home) on my property?";"Maybe. Depending upon your property and the CC&Rs recorded on your lot, you may be able to bring a factory built home onto your property. Both the age, size and standards of the construction of the unit are factors. In certain circumstances, a garage must be constructed prior to occupancy of the unit.  Special requirements are listed in the Manufactured Home Checklist available on the Community Development website under \"applications\" or at the department's front counter.

"
"Community Development";"Development Review and Permitting";"What can I do on my property? OR What can`t I do on my property?";"Each parcel has a land use designation that limits the uses on the property and the standards for development. These uses and standards are defined in the Development Code by land use designation. You may find your parcel`s land use designation by accessing Map Warehouse on the County`s website. Please keep in mind that the Map Warehouse provides land use (zoning) information for unincorporated Washoe County only. If your property is within the Cities of Reno or Sparks, you will need to contact either the Reno or Sparks Community Development Department to obtain your zoning information. 

To get to Map Warehouse, <a href=\"http://www.washoecounty.us/gis\" target=_blank>click on this link</a> and choose \"Map Warehouse\".  When the disclaimer comes up, scroll down and click \"I Agree\".  The \"Main\" tab should be active, if it isn`t, choose \"Main\".  Choose \"Land Use\" from the list.  Under \"Step 1. I am interested in:\", click the dropdown arrow next to \"Select One\" and choose \"Washoe County Planned Land Use\".  

If you wish to search by the parcel number, under \"Step 2. I would like to search by:\", choose \"Parcel Number\".  Under \"Last Step. The parcel number without spaces or dashes is\", type the parcel number without any spaces or dashes, then click on \"Search!\".  Your parcel should be highlighted on the map.

If you wish to search by the address, under \"Step 2. I would like to search by:\", choose \"Address\".  Under \"Last Step. The address is\", enter the Street Number and Street Name, and the Prefix (North, South, East, West) if there is one, then click on \"Search!\".  Your parcel should be highlighted on the map.  

If the \"Data\" tab is selected, there should be a table below the map display.  If the \"Data\" tab is not selected, click on the \"Data\" tab to bring up the table.

The third column in the table is labeled \"Planned Land Use\".  Your land use designation (zoning) will be identified in this column.

To determine what uses are allowed on your property, refer to the Table of Uses in Division Three, Article 302, Allowed Uses, of the Washoe County Development Code. To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>."
"Community Development";"Development Review and Permitting";"Can I live in a trailer (or mobile home) on my property while I am building my house?";"Yes. However, you must have an issued building permit for the home and you must remove the trailer/mobile home within 18 months (or 36 months with an extension). A financial assurance for the removal of the unit is required."
"Community Development";"Development Review and Permitting";"How many people can live in a home?";"State law and Washoe County Code permits up to 6 unrelated persons and 2 caregivers to live in any home. So... aunt, cousins, grandparents, sons, daughter-in-laws, and extended families that are related are permitted. The relationships are limitless and the answer is extremely complex."
"Community Development";"Development Review and Permitting";"How tall can I build my fence?";"On interior lots, you can generally build a fence 4.5 feet in the front yard and 6 feet on the rest of the property. Corner lots are further restricted and the sight visibility triangle of the driveway and a corner is limited to 18 inches. "
"Community Development";"Development Review and Permitting";"Can I divide my property?";"Maybe. This is dependent on your land use (zoning), the size of your property, the availability of community sewer and water, whether you have access to water rights, and a variety of other requirements. You will need to hire a professional land surveyor before you apply, but first, call our Development Information Counter at 775.328.6100 and talk to a planner who will help you determine if you can divide your property.

For more information, see Division Six - Subdivision Regulation, Article 606, Parcel Maps, of the Washoe County Development Code. To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>."
"Community Development";"Development Review and Permitting";"What are my building setback requirements from my lot lines?";"Each parcel has a land use designation (zoning), and the setbacks vary according to that designation. General setback information is defined by land use designation in Table 110.406.05.1, Standards, in the Development Code. 

For more information, see Division Four - Development Standards, Article 406, Building Placement Standards, of the Washoe County Development Code. To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>.

 However, there are many additional factors that come into play, such as if there are access easements on the lot, the shape of your lot, and the like. Call our Development Information Counter at 775.328.6100 and speak to a planner for specific setback information for your property."
"Community Development";"Development Review and Permitting";"How high can my house or detached garage be?";"Most residential areas in the County are limited to a 35-foot height standard. However, that may vary. In certain areas, the height is restricted to 2 stories and, in the Tahoe Basin, the Tahoe Regional Planning Agency height is the standard, which may be significantly higher than 35 feet depending on topography. 

A detached garage may be the same height as the home. However, a detached garage under 12 feet in height at the mid-point of the roof may qualify for a reduced setback. Call our Development Information Counter at 775.328.6100 and speak to a planner about the height standard for your area."
"Community Development";"Development Review and Permitting";"Can I have a second floor in my detached garage or barn?";"No, unless there is an established (or soon to be established) agricultural use and the structure is a minimum of 100 feet from ANY property line, in which case you may construct a second floor. In such cases, the use of the second floor is limited to the storage of feed, hay, agricultural tools or equipment, an office for the agricultural business, or other items related to the agricultural use of the property. Uses not allowed include recreation rooms, dens, bedrooms, kitchens, and hobby or craft workspace. The number of plumbing fixture units is limited to 2. Fixture units include sinks, toilets, showers or tubs."
"Community Development";"Development Review and Permitting";"Can I build a shed or garage to store my vehicles and belongings before I build my house?";"No. You must construct a primary dwelling in order to construct an accessory building. However, if you have a building permit for the home, you may then obtain a building permit for the shed or garage and build that structure first."
"Community Development";"Development Review and Permitting";"Can I build a barn on my property without a house being on the property?";"Yes, if there is an established (or soon to be established) agricultural use and the structure is a minimum of 100 feet from ANY property line. A certificate from  you must be submitted with your building permit application attesting to one of the following:

1. That agricultural uses are currently on the property, together with a description of those uses, and verifying that the agricultural buildings will be used principally to store agricultural equipment and/or products related to the agricultural use; and/or

2. That livestock either currently lives on the property or will live on the property within 90 days from the final approval date for building permits issued for the agricultural building(s), and verifying that the principal use of the agricultural building(s) will be shelter for the livestock."
"Community Development";"Development Review and Permitting";"How many plumbing fixtures can I have in my detached garage or barn?";"The number of plumbing fixture units is limited to 2. Fixture units include sinks, toilets, showers or tubs."
"Community Development";"Development Review and Permitting";"What are the parking and landscaping requirements for my business?";"The minimum standards for both parking and landscaping depend on the use of the building, the size of the building, and the developed portion of the lot.  Parking and landscape requirements are defined in Division Four - Development Standards, of the Development Code. Refer to Article 410 - Parking and Loading, and Article 412, Landscaping.

To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>."
"Community Development";"Development Review and Permitting";"What kind and how many animals can I have on my property?";"Each of the 18 land use designations and the size of your property are factors in determining the kind and number of animals you can keep on your prperty. Refer to Division Three - Regulation of Uses, Article 330, Domestic Pets and Livestock, of the Development Code.

To go to the Development Code home page, <a href=\"/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click here</a>."
"Community Development";"Development Review and Permitting";"What is a Significant Hydrologic Resource (SHR) and why are there codes to protect streams and creeks?";"A Significant Hydrologic Resource is a creek or stream shown on an adopted SHR map in the Washoe County Development Code.  The Washoe County Stream Advisory Committee was established by the Board of County Commission (BCC) and began meeting in January 1998.  The idea originated with the Mr. Rose/Geiger Grade Citizen Advisory Board.  (A Citizen Advisory Board is a neighborhood board with members appointed by the BCC to provide advice and recommendations on issues and proposals in the county.)  The Stream Advisory Committee included members with technical expertise who were citizen, developer, water quality, wildlife and public health interest stakeholders.

By 1998, many of the streams in Washoe County were diverted and channeled to provide water for agriculture, without regard to stream structure and condition.  Due to damage and deterioration of the stream environments, and the lack of consideration of the critical role streams play in preserving the quality of Washoe County`s natural environment, the Stream Advisory Committee believed it was important to maintain the natural vegetation along the streams to stabilize banks and maintain the ecological system.  It was understood that confinement by concrete channeling or placement of rip rap prevents the natural processes that produce thriving plant and animal life.  

After more than two years of work of the Stream Advisory Committee, Washoe County staff presented a proposed Development Code Amendment to the Washoe County Planning Commission and, subsequently, to the Board of County Commission.  The proposed amendment was reviewed by Citizen Advisory Boards, developers, contractors and technical experts.  Finally, on February 15, 2001, the amendment was adopted as Washoe County Code.  The amendment provided protection of property from flooding, reduced land development impacts on stream water quality and flows, and provided wildlife mitigation corridors while, at the same time, scrutinized the implications to all parties including whether the ordinance was unfairly burdensome on the property owner or whether the ordinance eliminated all reasonable use of the property. "
"Community Development";"Manufactured Housing";"What is a Trailer (TR) Overlay zone?";"A Trailer (TR) Overlay zone represents the pre-1993 zoning of Washoe County which permitted the setup and subsequent use of a mobile home (pre-1974) or a Housing and Urban Development (HUD) manufactured home (post-1973) as a single family residence.  Any area that had a trailer overlay continues to permit mobile/manufactured homes."
"Community Development";"Manufactured Housing";"What different types of manufactured housing are allowed in the three areas for which regulations are developed?";"For properties zoned for single family residences \"outside Trailer (TR) Overlay zoned areas\", the following limitations apply:
-The unit must be a manufactured house constructed to the HUD standards.
-The unit must be a minimum 1,200 square feet in size.
-The unit must have multiple sections.
-The unit must be no more than 5 years old at time of placement (placement is defined as date of issuance of site inspection permit).
-There may not be Covenants, Conditions or Restrictions (CC&Rs) on the property that restrict manufactured homes.
-The home must be converted to real property.

For properties zoned \"within Trailer (TR) Overlay zoned area\", the following limitations apply:
-The unit may be a manufactured house or a mobile home (a unit constructed to neither the UBC nor HUD code, but not a travel trailer).
-The unit may be of any size.
-The unit can be one section or multiple sections.
-The unit can be of any age.
-A mobile home may only be placed on a parcel that had a previous manufactured house or mobile home located on the parcel within the previous 12 months.

For properties within the Sun Valley and High Desert planning areas, the following limitations apply:
-The unit may be a manufactured house or a mobile home (a unit constructed to neither the UBC nor HUD code nor a travel trailer).
-The unit may be of any size.
-The unit can be one section or multiple sections.
-The unit can be of any age.
-Other than required yard setbacks, there is no restriction on the location of a unit in a single family residential zone."
"Community Development";"Manufactured Housing";"What agency regulates the foundation standards for a manufactured home or a mobile home?";"The State of Nevada Manufactured Housing Division (775.687.4296) regulates foundation requirements.  In addition, county code and state law requires a permanent foundation and subsequently a designation as real property with the Washoe County Assessor`s Office."
"Community Development";"Manufactured Housing";"Are there any aesthetic requirements for manufactured housing in Washoe County?";"The supports must be masked by skirting and/or a perimeter foundation, which must be installed 30 days after the final inspection occurs.  The hitch and wheels must be removed and placed out of sight by the time final inspection occurs."
"Community Development";"Manufactured Housing";"Do the Covenants, Conditions and Restrictions (CC&Rs) on a property limit the placement of a manufactured home?";"The placement of the unit may not violate Covenants, Conditions and Restrictions (CC&Rs); Deed Restrictions; or Negative Covenants that prohibit the placement of the manufactured house within the subdivision within which it is proposed to be located (Washoe County will require an affidavit affirming this at the time of submittal of a setup permit application)."
"Community Development";"Manufactured Housing";"Do I have to build a garage?";"County parking standards must be met.  A garage for at least 1 vehicle must be constructed.  In areas with a previous Trailer (TR) Overlay, the covered parking space may be a carport if there was a mobile/manufactured home on the property within the last 12 months.  In Sun Valley and High Desert, neither a garage nor a carport is required."
"Community Development";"Manufactured Housing";"Can I move into and live in my manufactured home while I build my garage?";"No.  The final inspection for the home cannot take place prior to the construction of the garage or carport."
"Community Development";"Manufactured Housing";"Can any provisions be varied for placing a manufactured house outside the areas zoned Trailer (TR) Overlay or outside of the Sun Valley and High Desert planning areas?";"Washoe County may issue a permit for a manufactured house that is less than 1,200 square feet in size if any one of the following occurs:
-51% of the existing housing within 300 feet of the property boundaries of the property on which the manufactured house will be placed are less than 1,200 square feet in size;
-The placement of a 1,200 square foot unit would violate the setbacks for the property on which the manufactured house will be placed; or
-The size of the lot on which the manufactured house will be placed is 10 acres or greater in size.

No other provisions may be waived without a variance application reviewed and approved by the Washoe County Board of Adjustment."
"Community Development";"Manufactured Housing";"Can the provisions that apply to manufactured houses and mobile homes within the Trailer (TR) Overlay zoned areas or Sun Valley and High Desert planning areas be varied?";"A variance application reviewed and approved by the Washoe County Board of Adjustment can vary these provisions."
"Community Development";"Manufactured Housing";"How does the conversion of a manufactured house to real property occur?";"An Affidavit of Conversion of Mobile Home to Real Property must be completed by the property owner and seller of the unit.  The property owner then submits the affidavit and two copies to the Washoe County Recorder`s Office for recordation.  As part of this recordation process, two conforming copies of the Conversion Affidavit will be returned to the property owner.  The property owner then submits both conforming copies to the Nevada Division of Manufactured Housing with a check for $20.  The Nevada Division of Manufactured Housing will issue a conversion certificate and forward it to the Washoe County Assessor`s Office.  Upon receipt of the certificate, the Assessor`s Office will commence assessing the manufactured house as real property."
"Community Development";"Manufactured Housing";"Where are the regulations for the placement of manufactured housing and mobile homes located?";"Article 312 (Fabricated Housing) of the Washoe County Development Code contains the specific provisions regulating the location of manufactured housing and mobile homes.  Article 314 (Manufactured Home Parks) of the Washoe County Development contains the regulations governing mobile home parks (rental spaces).  Articles 312 and 314 are contained within Division Three of the Washoe County Development Code.

To get to the Washoe County Development Code home page, <a href=\" http://www.washoecounty.us/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click on this link</a>.  Choose \"division three - regulation of uses\", then click on the bookmark for the article you wish to view."
"Community Development";"Manufactured Housing";"Can a manufactured house be used as a detached accessory dwelling unit?";"Washoe County permits a manufactured house that is 5 years or less in age to be used as a detached accessory dwelling unit and if it is not prohibited by the Covenants, Conditions and Restrictions (CC&Rs) on the property and provided that it meets the standards enumerated in Article 306 (Accessory Uses and Structures) of the Washoe County Development Code.

To get to the Washoe County Development Code home page, <a href=\" http://www.washoecounty.us/comdev/publications_maps_products/comdevcode/comdevcode_index.htm\" target=_blank>click on this link</a>.  Choose \"division three - regulation of uses\", then click on the bookmark for Article 306.

